Title,Author,Discount,Price before,Price now,Editorial,Year
 FUNDAMENTOS DE FILOSOFÍA (COLECCIÓN PREMIOS NOBEL DE LITERATURA)  ,Bertrand Russell,20,42000,33600,DEBOLSILLO,2021
 EL HOMBRE EN BUSCA DEL SENTIDO ÚLTIMO  ,Viktor E. Frankl,20,49000,39200,PAIDOS,2021
 SUEÑAN LOS ANDROIDES CON OVEJAS ELÉCTRICAS?  ,Philip K. Dick,20,45000,36000,MINOTAURO,2020
 LAS MUJERES QUE AMAN DEMASIADO  ,Robin Norwood,20,57000,45600,VERGARA,2018
 CUENTOS COMPLETOS  ,Virginia Woolf,20,75000,60000,SEIX BARRAL,2022
 NO ESPERO HACER ESE VIAJE  ,Alejandro Gaviria,20,49000,39200,ARIEL,2022
 PACK SARAH J. MAAS (NUEVAS EDICIONES) 3 TOMOS  ,Sarah J. Maas,45,187000,102850,PLANETA,2021
 (PREVENTA) UNA VIDA CON PROPOSITO  ,Rick Warren,35,89148,57946,VIDA,2012
 LA ESTRATEGIA EMERGENTE: Y LA MUERTE DEL PLAN ESTRATÉGICO  ,Alejandro Salazar Yusti,10,69900,62910,CAMLIBRO,2021
 ENSAYO SOBRE LA CEGUERA  ,José Saramago,20,49000,39200,DEBOLSILLO,2015
 MUSEO DE NOSTALGIAS ,Camila Esguerra,20,55000,44000,ESPASA,0
 AGENDA DEL DIARIO PARA ESTOICOS: 366 DÍAS DE ESCRITURA Y REFLEXIÓN SOBRE EL ARTE DE VIVIR: 366 DÍAS DE ESCRITURA Y REFLEXIÓN SOBRE EL ARTE DE VIVIR  ,Ryan Holiday; Stephen Hanselman,20,57000,45600,REVERTE MANAGEMENT,2021
 FLASH CARD ANIMALES DE GRANJA (LIBRO EN ESPAÑOL ,Kocodío,30,40000,28000,KOCODIO SAS,2022
 UNA CORTE DE ROSAS Y ESPINAS  ,Sarah J. Maas,20,69000,55200,PLANETA,2016
 INGLÉS PARA DUMMIES  ,Gail Brenner,20,45000,36000,EDICIONES CEAC,2019
 EL JUICIO DE ADOLF HITLER ,David King,20,59000,47200,SEIX BARRAL,2019
 EGAN. EL CAMPEÓN PREDESTINADO  ,Mauricio Silva,20,52000,41600,AGUILAR,2019
 REIKI ANGELICAL PARA LA ABUNDANCIA ,Teresa Salazar Posada,20,39000,31200,BOOKET,2022
 ALAS NEGRAS ,"Gallego, Laura",20,29000,23200,BOOKET,0
 44 CAPÍTULOS SOBRE 4 HOMBRES  ,Bb Easton,20,29000,23200,GRUPO PLANETA,2021
 IRRESISTIBLE ERROR  ,Melissa Ibarra,30,97900,68530,SIN FRONTERAS GRUPO EDITORIAL,2022
 HISTORIA SECRETA DE MIS MEJORES CANCIONES  ,Miguel Bosé,20,69000,55200,ESPASA,2022
 LA COLECTA ,Rodrigo Nocove,30,60000,42000,CALIXTA EDITORES SAS,2022
 EL TEOREMA KATHERINE  ,John Green,20,44000,35200,DEBOLSILLO,2021
 PENSAR A LA JAPONESA ,Le Yen  Mai,20,58000,46400,URANO,0
